pii,artifact name ,FIeld name,comments
yes,,action_external_hostname,
yes,,dst_action_external_hostname,
yes,,agent_hostname,
yes,,dst_agent_hostname,
,,agent_id,
,,dst_agent_id,
,,action_remote_port,
,,actor_process_causality_id,
,cid,action_remote_process_causality_id,
yes,ip,action_local_ip,
yes,,action_remote_ip,
yes,,action_remote_ip_v6,
yes,,dns_query_name,
,,dst_action_country,
,,action_country,
,,fw_app_id,
,user,actor_effective_username,
,,identity_invoked_by_type,
,,identity_type,
,,identity_sub_type,
,,agent_os_type,
,,action_process_user_sid,
,,actor_effective_user_sid,
,,event_sid,
,,,
,file,"traps_files = json_extract_nested_array(alert_fields.alert.original_alert_json, ""$.messageData.files[*]""",
,,"element_sha256_lowered = string_lower(json_extract_scalar(traps_files, ""$.sha256"", False))",
,,"element_file_name = json_extract_scalar(traps_files, ""$.fileName""",
,,"element_inner_obj_sha256_lowered = string_lower(json_extract_scalar(traps_files, ""$.innerObjectSha256"", False))",
,sid,alert_fields.event.story_id,
,gid,alert_fields.alert.original_alert_json.multievent_group_id,
,,alert_fields.alert.original_alert_json.group_id,
,,"pcc_group_id = json_extract_scalar(alert_fields.alert.original_alert_json, f""$.{PCCGroupIdArtifact.PCC_GID_FIELD}"", False)",
,cusality ,lert_fields.event.causality_actor_process_image_sha256,
,process,alert_fields.event.actor_process_image_sha256,
,,alert_fields.event.action_process_image_sha256,
,cmd,alert_fields.event.actor_process_command_line,
,,alert_fields.event.actor_process_image_path,
,,"    norm_registry_artifact_value = string_concat(
        coalesce(alert_fields.event.action_registry_key_name, """"),
        coalesce(alert_fields.event.action_registry_value_name, """"),
        coalesce(alert_fields.event.action_registry_data, """"),
    )",
,xpanse,"json_extract_scalar(alert_fields.alert.original_alert_json, f""$.{websiteId}"", False)",
,,"json_extract_scalar(alert_fields.alert.original_alert_json, f""$.{serviceId}"", False)",
,,"json_extract_scalar(alert_fields.alert.original_alert_json, f""$.{assetId}"", False)",
,conversation_id,"alert_fields.alert.original_alert_json, ""$.raw_abioc.event.conversation_id""",
,subject,"alert_fields.alert.original_alert_json, ""$.raw_abioc.event.subject""",
,,"alert_fields.alert.original_alert_json, ""$.raw_abioc.event.subject_hash""",
,sender_ip,"""$.raw_abioc.event.sender_ip""",
,,"alert_fields.alert.original_alert_json, ""$.raw_abioc.event.sender_ip_location.country"",",
,attachments,"alert_fields.alert.original_alert_json, ""$.raw_abioc.event.has_attachments",
,,"alert_fields.alert.original_alert_json, ""$.raw_abioc.event.attachments[*]""",
,email_attachment_wf_hash_artifact,"alert_fields.alert.original_alert_json, ""$.name""",
,,"alert_fields.alert.original_alert_json, ""$.hash_str""",
,,"alert_fields.alert.original_alert_json, ""$.content_type",
,,"alert_fields.alert.original_alert_json, ""$.extension""",
,bcc_recipients_normalized,"alert_fields.alert.original_alert_json, ""$.raw_abioc.event.bcc_recipients_normalized[*]""",
,,"alert_fields.alert.original_alert_json, ""$.raw_abioc.event.cc_recipients_normalized[*]""",
,email from ,"(alert_fields.alert.original_alert_json, ""$.raw_abioc.event.from_normalized.identity",
,,"alert_fields.alert.original_alert_json, ""$.raw_abioc.event.from_normalized.domain""",
,,"alert_fields.alert.original_alert_json, ""$.raw_abioc.event.recipients_normalized[*]""",
,,"alert_fields.alert.original_alert_json, ""$.raw_abioc.event.url_verdicts[*]",
